iso3,country,index,index_name,year,rank
GBR,United Kingdom,WCR,IMD World Competitiveness Ranking,2019-01-01,23
CZE,Czechia,WCR,IMD World Competitiveness Ranking,2019-01-01,33
LTU,Lithuania,WCR,IMD World Competitiveness Ranking,2019-01-01,29
FRA,France,WCR,IMD World Competitiveness Ranking,2019-01-01,31
NZL,New Zealand,WCR,IMD World Competitiveness Ranking,2019-01-01,21
EST,Estonia,WCR,IMD World Competitiveness Ranking,2019-01-01,35
MYS,Malaysia,WCR,IMD World Competitiveness Ranking,2019-01-01,22
KAZ,Kazakhstan,WCR,IMD World Competitiveness Ranking,2019-01-01,34
PRT,Portugal,WCR,IMD World Competitiveness Ranking,2019-01-01,39
JPN,Japan,WCR,IMD World Competitiveness Ranking,2019-01-01,30
IND,India,WCR,IMD World Competitiveness Ranking,2019-01-01,43
ESP,Spain,WCR,IMD World Competitiveness Ranking,2019-01-01,36
POL,Poland,WCR,IMD World Competitiveness Ranking,2019-01-01,38
ITA,Italy,WCR,IMD World Competitiveness Ranking,2019-01-01,44
CYP,Cyprus,WCR,IMD World Competitiveness Ranking,2019-01-01,41
CHL,Chile,WCR,IMD World Competitiveness Ranking,2019-01-01,42
LVA,Latvia,WCR,IMD World Competitiveness Ranking,2019-01-01,40
SVN,Slovenia,WCR,IMD World Competitiveness Ranking,2019-01-01,37
GRC,Greece,WCR,IMD World Competitiveness Ranking,2019-01-01,58
JOR,Jordan,WCR,IMD World Competitiveness Ranking,2019-01-01,57
ROU,Romania,WCR,IMD World Competitiveness Ranking,2019-01-01,49
USA,United States,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,1
NLD,Netherlands,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,6
SGP,Singapore,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,2
DNK,Denmark,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,4
CHE,Switzerland,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,5
KOR,South Korea,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,10
SWE,Sweden,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,3
FIN,Finland,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,7
TWN,Chinese Taipei,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,13
HKG,Hong Kong SAR,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,8
CAN,Canada,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,11
ARE,UAE,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,12
ISR,Israel,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,16
NOR,Norway,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,9
BEL,Belgium,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,25
AUS,Australia,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,14
ISL,Iceland,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,27
EST,Estonia,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,29
CHN,China (People’s Republic of),WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,22
GBR,United Kingdom,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,15
IRL,Ireland,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,19
AUT,Austria,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,20
DEU,Germany,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,17
NZL,New Zealand,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,18
LUX,Luxembourg,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,21
FRA,France,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,24
LTU,Lithuania,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,30
ESP,Spain,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,28
JPN,Japan,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,23
MYS,Malaysia,WDCR,IMD World Digital Competitiveness Ranking,2019-01-01,26
ARE,United Arab Emirates,NECI,National Entrepreneurship Context Index (NECI),2019-01-01,5
IND,India,NECI,National Entrepreneurship Context Index (NECI),2019-01-01,6
SAU,Saudi Arabia,NECI,National Entrepreneurship Context Index (NECI),2019-01-01,17
QAT,Qatar,NECI,National Entrepreneurship Context Index (NECI),2019-01-01,3
NLD,Netherlands,NECI,National Entrepreneurship Context Index (NECI),2019-01-01,2
